Rank,Title,URL,View Count,Upload Date,Duration (s),Success Factor
1,아이돌이 노력으로 '안 된다는 영역',https://www.youtube.com/shorts/hp-UdyHg5YE,8642431,2025-11-12,20,특정 인물(아이돌)의 비하인드/반응
2,아이돌이 '72시간' 무수면이면 생기는 일,https://www.youtube.com/shorts/WveMCAYabc0,7274614,2025-12-29,29,특정 인물(아이돌)의 비하인드/반응
3,도플갱어를 만난 로제 반응,https://www.youtube.com/shorts/YuzR2UJxqVo,5905171,2025-03-29,27,특정 인물(아이돌)의 비하인드/반응
4,전부 가짜였던 아이돌 '광고 소품들',https://www.youtube.com/shorts/cPCq9JN6Jbg,5255483,2025-05-30,31,숨겨진 진실/폭로
5,아이돌들이 메이크업보다 신경쓰는 '이것',https://www.youtube.com/shorts/F2wu3yUUtNI,4962765,2025-05-27,41,특정 인물(아이돌)의 비하인드/반응
6,SM이 포기해도 할 말 없는 아이돌,https://www.youtube.com/shorts/9yOLaJT5QfA,4944431,2025-03-10,47,기획사/업계 내부 이야기
7,'종현 목소리' 들은 샤이니 멤버들 반응,https://www.youtube.com/shorts/Hf3yVvDSGYU,4941484,2025-06-26,28,특정 인물(아이돌)의 비하인드/반응
8,아이돌이 먹는 광고 음식의 진실,https://www.youtube.com/shorts/efhqS5yqrPI,4889325,2025-03-25,32,숨겨진 진실/폭로
9,사실 가짜였던 장원영 광고의 비밀,https://www.youtube.com/shorts/4ikQUAj2c98,4517267,2025-05-22,30,숨겨진 진실/폭로
10,테디가 올데프한테만 허락해준 ‘이것’,https://www.youtube.com/shorts/_bBCsynVSQA,4329299,2025-07-06,29,특정 인물(아이돌)의 비하인드/반응
11,SM이 요즘 꽂혔다는 '아이돌 얼굴상',https://www.youtube.com/shorts/Tze5UBbohTk,4210266,2025-11-11,20,기획사/업계 내부 이야기
12,워터밤으로 떡상한 여돌이 '사라진 이유',https://www.youtube.com/shorts/PBcIE93WOPU,3971157,2026-01-11,34,아이돌의 특이한 행동/일상
13,일반인이 아이돌 코앞에서 봐도 모르는 이유,https://www.youtube.com/shorts/Gh4A6Cr_Hsw,3789085,2025-12-22,29,아이돌의 특이한 행동/일상
14,고연차 아이돌만 할 수 있는 행동,https://www.youtube.com/shorts/F-mSlcvX9MU,3337549,2025-03-09,39,아이돌의 특이한 행동/일상
15,이사배도 가장 힘들었던 아이돌?,https://www.youtube.com/shorts/FQ1di6EgqJk,3306393,2025-10-04,28,특정 인물(아이돌)의 비하인드/반응
16,엠넷에서 1시간만에 삭제된  '르세라핌 영상',https://www.youtube.com/shorts/4U4H3cMcg0Y,3292768,2025-07-10,24,특정 인물(아이돌)의 비하인드/반응
17,GD가 카리나 논란 잠재운 방법,https://www.youtube.com/shorts/28jFIcM-Jwo,3276956,2025-03-29,28,아이돌의 특이한 행동/일상
18,자폐 스펙트럼 아이를 만난 '아이돌 행동',https://www.youtube.com/shorts/oyPwl_jLwc8,3175873,2025-05-31,33,아이돌의 특이한 행동/일상
19,성격 차이 보인다는 카리나vs윈터 행동들,https://www.youtube.com/shorts/XTY3DE6En60,3157849,2025-09-13,39,아이돌의 특이한 행동/일상
20,SM에서 '손 놓아버린' 여자 아이돌,https://www.youtube.com/shorts/46QF5K7YF9o,3048908,2025-11-11,31,기획사/업계 내부 이야기
